sentence,name,slug,house_name
Gingers are beautiful. We've been kissed by fire.,Tormund,tormund,
"Never forget what you are. The rest of the world will not. Wear it like armour, and it can never be used to hurt you.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
I know that our enemies hate each other almost as much as they hate us.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"The world is overflowing with horrible things, but they’re all a tray of cakes next to death.",Olenna Tyrell,olenna,House Tyrell of Highgarden
"The more people you love, the weaker you are.",Cersei Lannister,cersei,House Lannister of Casterly Rock
A ruler who hides behind paid executioners soon forgets what death is.,"Eddard ""Ned"" Stark",ned,House Stark of Winterfell
"I want our baby to live. Don't let me die, Jaime. Please don't let me die.",Cersei Lannister,cersei,House Lannister of Casterly Rock
"People often claim to hunger for truth, but seldom like the taste when it's served up.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
Laughter is poison to fear.,Catelyn Stark,catelyn,House Stark of Winterfell
Leave one wolf alive and the sheep are never safe.,Arya Stark,arya,House Stark of Winterfell
"You know nothing, Jon Snow.",Ygritte,ygritte,
"People often claim to hunger for truth, but seldom like the taste when it's served up.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
All I ever wanted was to fight for a lord I believed in. But the good lords are dead and the rest are monsters.,Brienne of Tarth,brienne,House Tarth of Evenfall Hall
A ruler who kills those devoted to her is not a ruler who inspires devotion.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"It's not easy being drunk all the time. Everyone would do it, if it were easy.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"My sword is yours, in victory and defeat, from this day until my last day.",Theon Greyjoy,theon,House Greyjoy of Pyke
Everyone is mine to torment.,Joffrey Baratheon,joffrey,House Baratheon of Dragonstone
Gingers are beautiful. We've been kissed by fire.,Tormund,tormund,
I don't care about checking my worst impulses. I don't care about making the world a better place. Hang the world.,Cersei Lannister,cersei,House Lannister of Casterly Rock
"I want our baby to live. Don't let me die, Jaime. Please don't let me die.",Cersei Lannister,cersei,House Lannister of Casterly Rock
The only way to keep your people loyal is to make certain they fear you more than they do the enemy.,Cersei Lannister,cersei,House Lannister of Casterly Rock
"I want our baby to live. Don't let me die, Jaime. Please don't let me die.",Cersei Lannister,cersei,House Lannister of Casterly Rock
There are no men like me. Only me.,Jaime Lannister,jaime,House Lannister of Casterly Rock
"Well, my brother has his sword, and I have my mind, and a mind needs books like a sword needs a whetstone, if it's to keep its edge.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"If you ever call me sister again, I'll have you strangled in your sleep.",Cersei Lannister,cersei,House Lannister of Casterly Rock
He was no dragon. Fire cannot kill a dragon.,Daenerys Targaryen,daenerys,House Targaryen of King's Landing
"The war is not over. And I promise you, friend, the true enemy won't wait out the storm. He brings the storm.",Jon Snow,jon,House Stark of Winterfell
"I, Eddard of the house Stark, lord of Winterfell and warden of the North, sentence you to die.","Eddard ""Ned"" Stark",ned,House Stark of Winterfell
"I need you to become the man you were always meant to be. Not next year, not tomorrow, now.",Tywin Lannister,tywin,House Lannister of Casterly Rock
"Why is it that when one man builds a wall, the next man immediately needs to know what's on the other side?",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"I have a tender spot in my heart for cripples, bastards and broken things.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"The storms come and go, the big fish eat the little fish and I keep on paddling.",Lord Varys,varys,
"It doesn't matter what we want. Once we get it, then we want something else.",Petyr Baelish,baelish,House Baelish of Harrenhal
All I ever wanted was to fight for a lord I believed in. But the good lords are dead and the rest are monsters.,Brienne of Tarth,brienne,House Tarth of Evenfall Hall
"If I fall, don't bring me back.",Jon Snow,jon,House Stark of Winterfell
He was no dragon. Fire cannot kill a dragon.,Daenerys Targaryen,daenerys,House Targaryen of King's Landing
You love your children. It's why you'll never win.,Cersei Lannister,cersei,House Lannister of Casterly Rock
A madman sees what he sees.,"Eddard ""Ned"" Stark",ned,House Stark of Winterfell
Love is the death of duty.,Jon Snow,jon,House Stark of Winterfell
"Never forget what you are. The rest of the world will not. Wear it like armour, and it can never be used to hurt you.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"When you play the game of thrones, you win or you die. There is no middle ground.",Cersei Lannister,cersei,House Lannister of Casterly Rock
A madman sees what he sees.,"Eddard ""Ned"" Stark",ned,House Stark of Winterfell
The freedom to make my own mistakes was all I ever wanted.,Mance Rayder,mance,
I am your son. I have always been your son.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
Winter is coming!,"Eddard ""Ned"" Stark",ned,House Stark of Winterfell
The night is dark and full of terrors.,Melisandre,melisandre,
Three victories don't make you a conqueror.,Jaime Lannister,jaime,House Lannister of Casterly Rock
Can a man still be brave if he's afraid? That is the only time a man can be brave.,Bran Stark,bran,House Stark of Winterfell
"The world is overflowing with horrible things, but they’re all a tray of cakes next to death.",Olenna Tyrell,olenna,House Tyrell of Highgarden
"Never forget what you are. The rest of the world will not. Wear it like armor, and it can never be used to hurt you.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"Everything before the word ""but"" is horseshit.",Jon Snow,jon,House Stark of Winterfell
